Page,File,Image Time,Image Count,Text Time,Characters,Caption Time,Caption Count,Image Save Time,Save Count,Text save time,Characters
27,386.pdf,0.0001583679113537073,1,0.0010466331150382757,1274,1.8320977687835693e-05,1,0.1588306650519371,1,0.0001044711098074913,1274
28,386.pdf,6.92328903824091e-05,0,0.0025780971627682447,3163,2.7995090931653976e-05,0,8.379574865102768e-07,0,5.280808545649052e-05,3163
29,386.pdf,0.0001109270378947258,1,0.001325520919635892,2315,1.9385945051908493e-05,1,0.0960849451366812,1,0.00010625598952174187,2315
30,386.pdf,6.115110591053963e-05,0,0.0022604898549616337,3965,2.6859110221266747e-05,0,7.059425115585327e-07,0,5.6992052122950554e-05,3965
31,386.pdf,0.00012153899297118187,1,0.001607965212315321,2289,1.7578015103936195e-05,1,0.12317475210875273,1,8.644582703709602e-05,2289
32,386.pdf,0.00021213898435235023,2,0.0011754871811717749,1694,1.8869061022996902e-05,2,0.21586470794864,2,7.628696039319038e-05,1694
33,386.pdf,0.00014159712009131908,1,0.0012073770631104708,1916,1.9563129171729088e-05,1,0.05279126693494618,1,8.79338476806879e-05,1916
34,386.pdf,0.00012625404633581638,1,0.0014629040379077196,2553,1.7603160813450813e-05,1,0.028977266047149897,1,5.622184835374355e-05,2553
35,386.pdf,0.000270891934633255,5,0.0012895031832158566,1535,2.0012957975268364e-05,1,0.123253253987059,5,6.844918243587017e-05,1535
36,386.pdf,0.00017098896205425262,1,0.0014971350319683552,2050,1.974799670279026e-05,1,0.14248327794484794,1,8.906284347176552e-05,2050
37,386.pdf,5.684606730937958e-05,0,0.002969912951812148,4052,2.8767157346010208e-05,0,7.259659469127655e-07,0,5.48618845641613e-05,4052
38,386.pdf,3.5071978345513344e-05,0,0.002610408002510667,3877,2.602417953312397e-05,0,7.040798664093018e-07,0,6.169499829411507e-05,3877
39,386.pdf,2.942793071269989e-05,0,0.0019831580575555563,3684,2.843397669494152e-05,1,7.909256964921951e-07,0,6.0484977439045906e-05,3684
40,386.pdf,0.0001234901137650013,1,0.0013235670048743486,1710,1.4599878340959549e-05,1,0.1026480479631573,1,8.873408660292625e-05,1710
41,386.pdf,6.235786713659763e-05,0,0.0022504618391394615,3907,2.7460977435112e-05,0,7.729977369308472e-07,0,7.01751559972763e-05,3907
42,386.pdf,0.00011341297067701817,1,0.00029651704244315624,169,7.380964234471321e-06,1,0.09323531785048544,1,7.98769760876894e-05,169
43,386.pdf,6.0643069446086884e-05,0,0.002744866069406271,3624,2.9564136639237404e-05,0,7.308553904294968e-07,0,7.199007086455822e-05,3624
44,386.pdf,0.0001603909768164158,2,0.0010388379450887442,951,1.4305813238024712e-05,1,0.02611848502419889,2,9.090197272598743e-05,951
45,386.pdf,0.0001530330628156662,1,0.001289058942347765,1934,1.846696250140667e-05,1,0.01670665293931961,1,5.920417606830597e-05,1934
46,386.pdf,3.192806616425514e-05,0,0.0030506039038300514,4097,2.3546861484646797e-05,0,7.189810276031494e-07,0,5.756504833698273e-05,4097
47,386.pdf,2.5792978703975677e-05,0,0.009650269988924265,3226,8.529494516551495e-05,0,7.459893822669983e-07,0,5.632196553051472e-05,3226
48,386.pdf,2.5550834834575653e-05,0,0.007213869830593467,2457,6.387685425579548e-05,0,8.221250027418137e-07,0,4.9967085942626e-05,2457
49,386.pdf,8.99189617484808e-05,1,0.0005096329841762781,348,8.133938536047935e-06,1,0.02889930410310626,1,4.8239948228001595e-05,348
50,386.pdf,9.282981045544147e-05,1,0.000555058941245079,267,8.26292671263218e-06,1,0.02819006610661745,1,6.0971127822995186e-05,267
51,386.pdf,0.0001280638389289379,1,0.0014426999259740114,1732,1.9384082406759262e-05,1,0.10678678308613598,1,8.985400199890137e-05,1732
52,386.pdf,0.00015087309293448925,1,0.001633587060496211,1928,3.466987982392311e-05,1,0.07655456219799817,1,7.198890671133995e-05,1928
53,386.pdf,4.7105830162763596e-05,0,0.0025321089196950197,4127,2.126302570104599e-05,0,8.319038897752762e-07,0,5.343882367014885e-05,4127
54,386.pdf,2.684304490685463e-05,0,0.002669653156772256,4150,2.4517066776752472e-05,0,7.399357855319977e-07,0,5.860091187059879e-05,4150
55,386.pdf,2.6806024834513664e-05,0,0.002212759107351303,4352,2.2524036467075348e-05,0,6.859190762042999e-07,0,5.663302727043629e-05,4352
56,386.pdf,2.5671906769275665e-05,0,0.002502555027604103,4498,2.1114014089107513e-05,0,6.870832294225693e-07,0,5.4162926971912384e-05,4498
57,386.pdf,2.5663059204816818e-05,0,0.002515360014513135,4414,2.0931009203195572e-05,0,6.980262696743011e-07,0,5.66970556974411e-05,4414
58,386.pdf,2.5853049010038376e-05,0,0.002171844942495227,4136,2.0434148609638214e-05,0,6.84056431055069e-07,0,5.488400347530842e-05,4136
59,386.pdf,2.553802914917469e-05,0,0.002021967899054289,3778,2.38930806517601e-05,0,6.989575922489166e-07,0,5.544186569750309e-05,3778
60,386.pdf,2.4949898943305016e-05,0,0.0021469788625836372,3902,3.234599716961384e-05,0,7.42962583899498e-07,0,5.1099108532071114e-05,3902
61,386.pdf,2.518296241760254e-05,0,0.002211041981354356,4030,2.9899878427386284e-05,0,6.398186087608337e-07,0,5.540414713323116e-05,4030
62,386.pdf,2.5064917281270027e-05,0,0.0021487658377736807,3866,2.937205135822296e-05,0,7.208436727523804e-07,0,5.5480049923062325e-05,3866
63,386.pdf,2.5041867047548294e-05,0,0.002429245039820671,4027,2.705189399421215e-05,0,7.438939064741135e-07,0,5.815899930894375e-05,4027
64,386.pdf,2.5173882022500038e-05,0,0.0021849488839507103,3922,2.997787669301033e-05,0,7.10831955075264e-07,0,5.436898209154606e-05,3922
65,386.pdf,2.705492079257965e-05,0,0.0015483740717172623,2437,2.0276056602597237e-05,0,7.00121745467186e-07,0,5.7227909564971924e-05,2437
0,387.pdf,0.00021936604753136635,3,0.0030733589082956314,292,1.0826857760548592e-05,0,0.02967370580881834,3,6.155087612569332e-05,292
1,387.pdf,3.624684177339077e-05,0,0.003864326048642397,629,2.5333138182759285e-05,0,7.408671081066132e-07,0,5.821906961500645e-05,629
2,387.pdf,2.6731053367257118e-05,0,0.001190961105749011,1920,1.1083902791142464e-05,0,6.780028343200684e-07,0,5.266489461064339e-05,1920
3,387.pdf,2.6052119210362434e-05,0,0.0012208931148052216,1288,5.7072145864367485e-05,0,6.619375199079514e-07,0,4.7776149585843086e-05,1288
4,387.pdf,2.53280159085989e-05,0,0.0048851449973881245,4298,2.3011118173599243e-05,0,7.241033017635345e-07,0,5.836016498506069e-05,4298
5,387.pdf,9.136716835200787e-05,1,0.0012484530452638865,1294,1.2255972251296043e-05,1,0.049969047075137496,1,9.127403609454632e-05,1294
6,387.pdf,5.049002356827259e-05,0,0.001983976922929287,3575,2.088886685669422e-05,0,7.499475032091141e-07,0,5.6590884923934937e-05,3575
7,387.pdf,9.679398499429226e-05,1,0.00030267308466136456,183,7.51507468521595e-06,1,0.02826780895702541,1,5.092308856546879e-05,183
8,387.pdf,3.054295666515827e-05,0,0.0022846609354019165,4164,2.0273029804229736e-05,0,7.569324225187302e-07,0,5.359109491109848e-05,4164
9,387.pdf,2.581905573606491e-05,0,0.001718658022582531,3245,1.8544960767030716e-05,0,6.719492375850677e-07,0,5.373801104724407e-05,3245
10,387.pdf,8.741184137761593e-05,1,0.0021609580144286156,2216,1.5183817595243454e-05,1,0.01955063291825354,1,5.069398321211338e-05,2216
11,387.pdf,8.304906077682972e-05,1,0.0006962020415812731,975,1.1050142347812653e-05,1,0.020976381143555045,1,4.8820860683918e-05,975
12,387.pdf,9.786500595510006e-05,1,0.0013828410301357508,2383,1.4421064406633377e-05,1,0.1777706230059266,1,9.608897380530834e-05,2383
13,387.pdf,0.00015974906273186207,1,0.000871292082592845,1021,1.5143072232604027e-05,1,0.5293901029508561,1,7.84900039434433e-05,1021
14,387.pdf,0.00016245408914983273,1,0.001978220883756876,3406,2.150796353816986e-05,1,0.17934625898487866,1,8.129491470754147e-05,3406
15,387.pdf,6.0203950852155685e-05,0,0.0026114298962056637,4140,2.2365013137459755e-05,0,7.548369467258453e-07,0,5.314708687365055e-05,4140
16,387.pdf,0.00010225502774119377,1,0.0013000380713492632,953,1.2021046131849289e-05,1,0.019678247859701514,1,0.00010488578118383884,953
17,387.pdf,6.165588274598122e-05,0,0.002505752956494689,4137,2.7322908863425255e-05,0,7.641501724720001e-07,0,7.34569039195776e-05,4137
18,387.pdf,0.0001289139036089182,1,0.0011941571719944477,2046,1.8824124708771706e-05,1,0.3608917100355029,1,8.799601346254349e-05,2046
19,387.pdf,6.118300370872021e-05,0,0.0018869959749281406,3190,1.988094300031662e-05,0,7.299240678548813e-07,0,5.353288725018501e-05,3190
20,387.pdf,0.0001615290530025959,2,0.0005191178061068058,536,1.1628959327936172e-05,2,0.20690285693854094,2,6.645289249718189e-05,536
21,387.pdf,4.537799395620823e-05,0,0.0015750289894640446,2559,1.5430152416229248e-05,0,7.010530680418015e-07,0,5.332892760634422e-05,2559
22,387.pdf,0.00011440017260611057,1,0.0013059331104159355,2393,1.5478814020752907e-05,1,0.35672448202967644,1,8.45759641379118e-05,2393
23,387.pdf,0.00014113099314272404,1,0.001602004049345851,2532,1.9494909793138504e-05,1,0.027217113180086017,1,6.485707126557827e-05,2532
24,387.pdf,3.001396544277668e-05,0,0.0018777509685605764,3692,2.118712291121483e-05,0,8.009374141693115e-07,0,5.793292075395584e-05,3692
25,387.pdf,9.695114567875862e-05,1,0.0006246829871088266,956,1.0906020179390907e-05,1,0.5490125010255724,1,0.00010713515803217888,956
26,387.pdf,0.00013882387429475784,1,0.002110891044139862,3804,2.3070955649018288e-05,1,0.013372120913118124,1,5.309400148689747e-05,3804
27,387.pdf,2.7674948796629906e-05,0,0.002266702940687537,4537,1.9633909687399864e-05,0,1.152046024799347e-06,0,5.181482993066311e-05,4537
28,387.pdf,8.224998600780964e-05,1,0.0016160300001502037,1973,1.6547972336411476e-05,1,0.04005581303499639,1,7.061590440571308e-05,1973
29,387.pdf,0.00012609688565135002,1,0.0019386380445212126,3260,1.8878141418099403e-05,1,0.02032425790093839,1,5.787098780274391e-05,3260
30,387.pdf,2.9275892302393913e-05,0,0.0024271239526569843,4681,2.4730805307626724e-05,0,7.280614227056503e-07,0,5.902606062591076e-05,4681
31,387.pdf,2.536899410188198e-05,0,0.0024346690624952316,4868,2.8458889573812485e-05,0,6.989575922489166e-07,0,5.1759183406829834e-05,4868
32,387.pdf,2.5409972295165062e-05,0,0.0020578978583216667,3636,2.3722881451249123e-05,0,7.669441401958466e-07,0,5.564885213971138e-05,3636
33,387.pdf,2.5541987270116806e-05,0,0.0023334608413279057,4127,2.4151988327503204e-05,0,7.441267371177673e-07,0,5.647214129567146e-05,4127
34,387.pdf,2.490496262907982e-05,0,0.002153768902644515,3879,2.3078173398971558e-05,0,8.328352123498917e-07,0,5.76928723603487e-05,3879
35,387.pdf,2.543698064982891e-05,0,0.001143548870459199,1825,1.343991607427597e-05,0,6.859190762042999e-07,0,4.8968009650707245e-05,1825
0,388.pdf,0.00018115504644811153,3,0.0022749388590455055,309,9.524868801236153e-06,0,0.05972226313315332,3,7.324013859033585e-05,309
1,388.pdf,6.434204988181591e-05,0,0.0012479210272431374,682,1.7012003809213638e-05,0,6.959307938814163e-07,0,5.2165938541293144e-05,682
2,388.pdf,2.748984843492508e-05,0,0.0015426280442625284,1822,1.8384074792265892e-05,0,7.42962583899498e-07,0,5.205301567912102e-05,1822
3,388.pdf,2.930103801190853e-05,0,0.000602097949013114,1057,2.7304980903863907e-05,0,6.651971489191055e-07,0,4.595192149281502e-05,1057
4,388.pdf,2.6442110538482666e-05,0,0.0003634330350905657,547,2.129608765244484e-05,0,6.551854312419891e-07,0,4.4498126953840256e-05,547
5,388.pdf,2.5962945073843002e-05,0,0.0038894969038665295,3729,2.38840002566576e-05,0,6.731133908033371e-07,0,6.706803105771542e-05,3729
6,388.pdf,0.00011664116755127907,1,0.001816615927964449,1514,1.5483936294913292e-05,1,0.024880883982405066,1,6.629410199820995e-05,1514
7,388.pdf,4.400196485221386e-05,0,0.0023986089508980513,3654,2.7480069547891617e-05,0,7.220078259706497e-07,0,6.785313598811626e-05,3654
8,388.pdf,0.00011078990064561367,1,0.0014704631175845861,2337,6.998400203883648e-05,1,0.009471352212131023,1,8.499994874000549e-05,2337
9,388.pdf,0.00012147589586675167,1,0.0010207928717136383,1779,1.7846934497356415e-05,1,0.7655627341009676,1,9.679910726845264e-05,1779
10,388.pdf,6.331806071102619e-05,0,0.0021873710211366415,4284,2.914504148066044e-05,0,8.121132850646973e-07,0,6.578792817890644e-05,4284
11,388.pdf,3.179186023771763e-05,0,0.0029264232143759727,6315,0.00027503306046128273,0,9.068753570318222e-07,0,5.979882553219795e-05,6315
12,388.pdf,2.7942005544900894e-05,0,0.0024519721046090126,5303,0.0001357761211693287,0,8.51927325129509e-07,0,6.0202088207006454e-05,5303
13,388.pdf,0.00011885492131114006,1,0.0006988679524511099,1272,1.4218036085367203e-05,1,0.023510491009801626,1,6.365892477333546e-05,1272
14,388.pdf,4.5808032155036926e-05,0,0.0019109270069748163,3913,2.722209319472313e-05,0,8.009374141693115e-07,0,5.738995969295502e-05,3913
15,388.pdf,2.7393922209739685e-05,0,0.001956287072971463,4074,2.1809013560414314e-05,0,7.308553904294968e-07,0,5.736411549150944e-05,4074
16,388.pdf,2.7342932298779488e-05,0,0.0018941240850836039,3962,2.1529151126742363e-05,0,7.909256964921951e-07,0,5.8887992054224014e-05,3962
17,388.pdf,2.7690082788467407e-05,0,0.0008181540761142969,1529,1.3775890693068504e-05,0,7.019843906164169e-07,0,5.018594674766064e-05,1529
0,389.pdf,0.0001784579362720251,3,0.0022354531101882458,371,1.0214047506451607e-05,0,0.21455281996168196,3,7.563107647001743e-05,371
1,389.pdf,5.326094105839729e-05,0,0.0025887610390782356,716,1.9731000065803528e-05,0,9.099021553993225e-07,0,5.80749474465847e-05,716
2,389.pdf,3.6054058000445366e-05,0,0.0018123059999197721,2319,2.1253013983368874e-05,0,7.620546966791153e-07,0,6.390106864273548e-05,2319
3,389.pdf,2.7381116524338722e-05,0,0.0009699149522930384,1897,6.17271289229393e-05,0,7.301568984985352e-07,0,4.6375906094908714e-05,1897
4,389.pdf,2.6959925889968872e-05,0,0.0004421339835971594,733,1.1458992958068848e-05,0,7.050111889839172e-07,0,4.548695869743824e-05,733
5,389.pdf,2.6260968297719955e-05,0,0.004218643996864557,3972,2.301204949617386e-05,0,7.990747690200806e-07,0,6.99879601597786e-05,3972
6,389.pdf,0.00011925096623599529,1,0.0013105871621519327,2324,2.1483050659298897e-05,1,0.35537634999491274,1,9.78738535195589e-05,2324
7,389.pdf,0.0001482078805565834,1,0.0012840288691222668,2249,2.2097956389188766e-05,1,0.315208574058488,1,9.95551235973835e-05,2249
8,389.pdf,6.225914694368839e-05,0,0.0029003829695284367,3283,2.6829075068235397e-05,0,7.960479706525803e-07,0,5.939905531704426e-05,3283
9,389.pdf,2.8041191399097443e-05,0,0.002026885049417615,4229,2.202717587351799e-05,0,7.201451808214188e-07,0,5.685701034963131e-05,4229
10,389.pdf,2.707703970372677e-05,0,0.0017013510223478079,3160,0.00016500893980264664,0,7.720664143562317e-07,0,5.139992572367191e-05,3160
11,389.pdf,0.00014226394705474377,2,0.0003725618589669466,528,1.2621050700545311e-05,2,0.22029390302486718,2,9.677605703473091e-05,528
12,389.pdf,0.0001793538685888052,2,0.0004531650338321924,472,1.6755890101194382e-05,2,0.4352862879168242,2,9.767292067408562e-05,472
13,389.pdf,5.994620732963085e-05,0,0.0017799320630729198,3090,0.00016945693641901016,0,8.239876478910446e-07,0,5.649589002132416e-05,3090
14,389.pdf,0.00014108698815107346,2,0.00026153982616961,274,8.9230015873909e-06,2,0.15513803786598146,2,9.764311835169792e-05,274
15,389.pdf,0.00023964210413396358,3,0.0007063909433782101,969,1.665414310991764e-05,3,0.2835654290392995,3,8.268887177109718e-05,969
16,389.pdf,6.0750171542167664e-05,0,0.0018442908767610788,3208,0.00016340217553079128,0,7.809139788150787e-07,0,6.435392424464226e-05,3208
17,389.pdf,0.00014678691513836384,2,0.0006433050148189068,1101,1.2919073924422264e-05,2,0.09788780100643635,2,8.797086775302887e-05,1101
18,389.pdf,6.094900891184807e-05,0,0.0014909659512341022,2446,0.00013218517415225506,0,8.221250027418137e-07,0,5.556200630962849e-05,2446
19,389.pdf,0.0001423449721187353,2,0.0006619819905608892,1207,1.4459015801548958e-05,2,0.3888269599992782,2,0.00010288809426128864,1207
20,389.pdf,0.00018751597963273525,2,0.0008417649660259485,1270,1.7514917999505997e-05,2,0.04534312104806304,2,7.981504313647747e-05,1270
21,389.pdf,5.237921141088009e-05,0,0.0017931668553501368,3097,0.00015361490659415722,0,9.860377758741379e-07,0,5.225907079875469e-05,3097
22,389.pdf,9.968318045139313e-05,1,0.001133115030825138,2260,1.7851125448942184e-05,1,0.10526759992353618,1,0.00010525691322982311,2260
23,389.pdf,0.0001841350458562374,2,0.0007857931777834892,1157,1.6914913430809975e-05,2,0.09893927094526589,2,8.723000064492226e-05,1157
24,389.pdf,6.201793439686298e-05,0,0.0015008600894361734,2594,0.00013660010881721973,0,8.509960025548935e-07,0,5.752989090979099e-05,2594
25,389.pdf,0.00014356407336890697,2,0.0007143297698348761,1328,1.2913020327687263e-05,2,0.04978141118772328,2,7.140194065868855e-05,1328
26,389.pdf,0.00016382616013288498,2,0.0005671780090779066,717,1.513306051492691e-05,2,0.10328534198924899,2,6.82678073644638e-05,717
27,389.pdf,4.660501144826412e-05,0,0.0016496079042553902,2822,0.00014380691573023796,0,7.690396159887314e-07,0,5.6657008826732635e-05,2822
28,389.pdf,2.741999924182892e-05,0,0.0018107949290424585,3492,0.00016615493223071098,0,8.828938007354736e-07,0,5.342508666217327e-05,3492
29,389.pdf,2.7687055990099907e-05,0,0.0012930310331285,2212,0.00012013199739158154,0,6.409827619791031e-07,0,4.81500755995512e-05,2212
30,389.pdf,0.00013865111395716667,2,0.0005367188714444637,931,1.1233147233724594e-05,2,0.49304064316675067,2,8.607003837823868e-05,931
31,389.pdf,6.202096119523048e-05,0,0.0015525920316576958,2489,0.00013325014151632786,0,8.440110832452774e-07,0,4.9350084736943245e-05,2489
32,389.pdf,0.00010161497630178928,1,0.0010992297902703285,2181,1.8802005797624588e-05,1,0.03238919912837446,1,7.466506212949753e-05,2181
33,389.pdf,4.3978914618492126e-05,0,0.0005323998630046844,623,3.901706077158451e-05,0,7.620546966791153e-07,0,4.446599632501602e-05,623
34,389.pdf,2.6063993573188782e-05,0,0.0015973909758031368,3133,0.00014663208276033401,0,7.487833499908447e-07,0,5.502789281308651e-05,3133
35,389.pdf,2.6512891054153442e-05,0,0.0014415259938687086,2709,0.0001370979007333517,0,7.881317287683487e-07,0,4.9111200496554375e-05,2709
36,389.pdf,0.00013557192869484425,2,0.0004436161834746599,654,1.0570976883172989e-05,2,0.14507118612527847,2,9.363493882119656e-05,654
37,389.pdf,6.0660066083073616e-05,0,0.0011490739416331053,1601,8.952105417847633e-05,0,7.979106158018112e-07,0,4.899292252957821e-05,1601
38,389.pdf,2.749590203166008e-05,0,0.001992443110793829,4161,2.442300319671631e-05,0,7.220078259706497e-07,0,6.336416117846966e-05,4161
39,389.pdf,2.7716858312487602e-05,0,0.002155313966795802,4618,2.331589348614216e-05,0,8.200295269489288e-07,0,5.67061360925436e-05,4618
40,389.pdf,2.6799039915204048e-05,0,0.0021187360398471355,4593,2.4014851078391075e-05,0,7.080379873514175e-07,0,5.796900950372219e-05,4593
41,389.pdf,2.700486220419407e-05,0,0.002139447955414653,4697,2.301693893969059e-05,0,9.068986400961876e-06,0,7.238797843456268e-05,4697
42,389.pdf,0.0001019979827105999,1,0.001555020920932293,3319,2.5065848603844643e-05,1,0.05239427392370999,1,8.05240124464035e-05,3319
43,389.pdf,5.027512088418007e-05,0,0.002163887955248356,4360,2.7378089725971222e-05,0,7.459893822669983e-07,0,5.987402983009815e-05,4360
44,389.pdf,2.6752939447760582e-05,0,0.0020978040993213654,4548,2.344604581594467e-05,0,7.029157131910324e-07,0,5.695200525224209e-05,4548
45,389.pdf,2.7006957679986954e-05,0,0.0019426729995757341,4131,2.2555002942681313e-05,0,7.140915840864182e-07,0,5.6074000895023346e-05,4131
46,389.pdf,2.6470981538295746e-05,0,0.002325558103621006,4478,2.446398138999939e-05,0,6.898771971464157e-07,0,5.878112278878689e-05,4478
47,389.pdf,2.596992999315262e-05,0,0.003140453016385436,5596,2.8644921258091927e-05,0,7.289927452802658e-07,0,5.772709846496582e-05,5596
48,389.pdf,2.7208123356103897e-05,0,0.0029669608920812607,5225,2.759695053100586e-05,0,8.121132850646973e-07,0,5.805795080959797e-05,5225
